ID,Label
http://www.wikidata.org/prop/direct/P31,instance of
http://www.wikidata.org/prop/direct/P161,cast member
http://www.wikidata.org/prop/direct/P19,place of birth
http://www.wikidata.org/prop/direct/P18,image
http://schema.org/description,node description
http://www.wikidata.org/prop/direct/P2061,aspect ratio
http://www.wikidata.org/prop/direct/P577,publication date
http://www.wikidata.org/prop/direct/P166,award received
http://www.wikidata.org/prop/direct/P345,IMDb ID
http://www.wikidata.org/prop/direct/P1346,winner
http://www.w3.org/2000/01/rdf-schema#label,node label
http://www.wikidata.org/prop/direct/P2758,CNC film rating (France)
http://www.wikidata.org/prop/direct/P750,distributed by
http://www.wikidata.org/prop/direct/P750,distributor
http://www.wikidata.org/prop/direct/P57,director
http://www.wikidata.org/prop/direct/P17,country
http://www.wikidata.org/prop/direct/P2554,production designer
http://www.wikidata.org/prop/direct/P495,country of origin
http://www.wikidata.org/prop/direct/P1080,from narrative universe
http://www.wikidata.org/prop/direct/P136,genre
http://www.wikidata.org/prop/direct/P641,sport
http://www.wikidata.org/prop/direct/P364,original language of film or TV show
http://www.wikidata.org/prop/direct/P58,screenwriter
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed"
http://www.wikidata.org/prop/direct/P2363,NMHH film rating
http://www.wikidata.org/prop/direct/P5970,Medierådet rating
http://www.wikidata.org/prop/direct/P344,director of photography
http://www.wikidata.org/prop/direct/P106,occupation
http://www.wikidata.org/prop/direct/P915,filming location
http://www.wikidata.org/prop/direct/P27,country of citizenship
http://www.wikidata.org/prop/direct/P3834,RTC film rating
http://www.wikidata.org/prop/direct/P8345,media franchise
http://www.wikidata.org/prop/direct/P437,distribution format
http://www.wikidata.org/prop/direct/P144,based on
http://www.wikidata.org/prop/direct/P1040,film editor
http://www.wikidata.org/prop/direct/P737,influenced by
http://www.wikidata.org/prop/direct/P4805,make-up artist
http://www.wikidata.org/prop/direct/P50,author
http://www.wikidata.org/prop/direct/P937,work location
http://www.wikidata.org/prop/direct/P2515,costume designer
http://www.wikidata.org/prop/direct/P462,color
http://www.wikidata.org/prop/direct/P1877,after a work by
http://www.wikidata.org/prop/direct/P921,main subject
http://www.wikidata.org/prop/direct/P840,narrative location
http://www.wikidata.org/prop/direct/P1299,depicted by
http://www.wikidata.org/prop/direct/P1411,nominated for
http://www.wikidata.org/prop/direct/P108,employer
http://www.wikidata.org/prop/direct/P530,diplomatic relation
http://www.wikidata.org/prop/direct/P1981,FSK film rating
http://www.wikidata.org/prop/direct/P1441,present in work
http://www.wikidata.org/prop/direct/P1343,described by source
http://www.wikidata.org/prop/direct/P1589,lowest point
http://www.wikidata.org/prop/direct/P69,educated at
http://ddis.ch/atai/rating,No Label
http://www.wikidata.org/prop/direct/P407,language of work or name
http://www.wikidata.org/prop/direct/P131,located in the administrative territorial entity
http://www.wikidata.org/prop/direct/P272,production company
http://ddis.ch/atai/tag,No Label
http://www.wikidata.org/prop/direct/P2142,box office
http://www.wikidata.org/prop/direct/P40,child
http://www.wikidata.org/prop/direct/P800,notable work
http://www.wikidata.org/prop/direct/P449,original broadcaster
http://www.wikidata.org/prop/direct/P175,performer
http://www.wikidata.org/prop/direct/P725,voice actor
http://www.wikidata.org/prop/direct/P3650,JMK film rating
http://www.wikidata.org/prop/direct/P103,native language
http://www.wikidata.org/prop/direct/P26,spouse
http://www.wikidata.org/prop/direct/P5021,assessment
http://www.wikidata.org/prop/direct/P112,founded by
http://www.wikidata.org/prop/direct/P551,residence
http://www.wikidata.org/prop/direct/P3092,film crew member
http://www.wikidata.org/prop/direct/P7047,enemy of
http://www.wikidata.org/prop/direct/P20,place of death
http://www.wikidata.org/prop/direct/P1889,different from
http://www.wikidata.org/prop/direct/P1327,partner in business or sport
http://www.wikidata.org/prop/direct/P3306,ICAA rating
http://www.wikidata.org/prop/direct/P279,subclass of
http://www.wikidata.org/prop/direct/P460,said to be the same as
http://www.wikidata.org/prop/direct/P2360,intended public
http://www.wikidata.org/prop/direct/P179,part of the series
http://www.wikidata.org/prop/direct/P2747,Filmiroda rating
http://www.wikidata.org/prop/direct/P47,shares border with
http://www.wikidata.org/prop/direct/P674,characters
http://www.wikidata.org/prop/direct/P2756,EIRIN film rating
http://www.wikidata.org/prop/direct/P3216,ClassInd rating
http://www.wikidata.org/prop/direct/P156,followed by
http://www.wikidata.org/prop/direct/P3373,sibling
http://www.wikidata.org/prop/direct/P1532,country for sport
http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject
http://www.wikidata.org/prop/direct/P170,creator
http://www.wikidata.org/prop/direct/P1376,capital of
http://www.wikidata.org/prop/direct/P1830,owner of
http://www.wikidata.org/prop/direct/P37,official language
http://www.wikidata.org/prop/direct/P6886,writing language
http://www.wikidata.org/prop/direct/P155,follows
http://www.wikidata.org/prop/direct/P509,cause of death
http://www.wikidata.org/prop/direct/P22,father
http://www.wikidata.org/prop/direct/P4969,derivative work
http://www.wikidata.org/prop/direct/P361,part of
http://www.wikidata.org/prop/direct/P4437,FPB rating
http://www.wikidata.org/prop/direct/P25,mother
http://www.wikidata.org/prop/direct/P8874,Hong Kong film rating
http://www.wikidata.org/prop/direct/P190,twinned administrative body
http://www.wikidata.org/prop/direct/P463,member of
http://www.wikidata.org/prop/direct/P527,has part
http://www.wikidata.org/prop/direct/P180,depicts
http://www.wikidata.org/prop/direct/P451,unmarried partner
http://www.wikidata.org/prop/direct/P172,ethnic group
http://www.wikidata.org/prop/direct/P123,publisher
http://www.wikidata.org/prop/direct/P2684,Kijkwijzer rating
http://www.wikidata.org/prop/direct/P30,continent
http://www.wikidata.org/prop/direct/P2079,fabrication method
http://www.wikidata.org/prop/direct/P9086,BAMID film rating
http://www.wikidata.org/prop/direct/P1431,executive producer
http://www.wikidata.org/prop/direct/P3402,CNC film rating (Romania)
http://www.wikidata.org/prop/direct/P276,location
http://www.wikidata.org/prop/direct/P2348,time period
http://www.wikidata.org/prop/direct/P1066,student of
http://www.wikidata.org/prop/direct/P4584,first appearance
http://www.wikidata.org/prop/direct/P740,location of formation
http://www.wikidata.org/prop/direct/P1038,relative
http://www.wikidata.org/prop/direct/P275,copyright license
http://www.wikidata.org/prop/direct/P1445,fictional universe described in
http://www.wikidata.org/prop/direct/P400,platform
http://www.wikidata.org/prop/direct/P54,member of sports team
http://www.wikidata.org/prop/direct/P6942,animator
http://www.wikidata.org/prop/direct/P3428,INCAA film rating
http://www.wikidata.org/prop/direct/P1037,director / manager
http://www.wikidata.org/prop/direct/P485,archives at
http://www.wikidata.org/prop/direct/P710,participant
http://www.wikidata.org/prop/direct/P140,religion
http://www.wikidata.org/prop/direct/P159,headquarters location
http://www.wikidata.org/prop/direct/P6379,has works in the collection
http://www.wikidata.org/prop/direct/P7573,IFCO rating
http://www.wikidata.org/prop/direct/P21,sex or gender
http://www.wikidata.org/prop/direct/P1050,medical condition
http://www.wikidata.org/prop/direct/P1657,MPAA film rating
http://www.wikidata.org/prop/direct/P138,named after
http://www.wikidata.org/prop/direct/P931,place served by transport hub
http://www.wikidata.org/prop/direct/P119,place of burial
http://www.wikidata.org/prop/direct/P735,given name
http://www.wikidata.org/prop/direct/P1269,facet of
http://www.wikidata.org/prop/direct/P1809,choreographer
http://www.wikidata.org/prop/direct/P607,conflict
http://www.wikidata.org/prop/direct/P2629,BBFC rating
http://www.wikidata.org/prop/direct/P2637,RARS rating
http://www.wikidata.org/prop/direct/P1344,participant in
http://www.wikidata.org/prop/direct/P7937,form of creative work
http://www.wikidata.org/prop/direct/P2936,language used
http://www.wikidata.org/prop/direct/P2416,sports discipline competed in
http://www.wikidata.org/prop/direct/P7959,historic county
http://www.wikidata.org/prop/direct/P9215,set during recurring event
http://www.wikidata.org/prop/direct/P150,contains administrative territorial entity
http://www.wikidata.org/prop/direct/P825,dedicated to
http://www.wikidata.org/prop/direct/P1434,takes place in fictional universe
http://www.wikidata.org/prop/direct/P2408,set in period
http://www.wikidata.org/prop/direct/P6658,RCQ classification
http://www.wikidata.org/prop/direct/P2341,indigenous to
http://www.wikidata.org/prop/direct/P3156,Australian Classification
http://www.wikidata.org/prop/direct/P3818,KMRB film rating
http://www.wikidata.org/prop/direct/P1552,has quality
http://www.wikidata.org/prop/direct/P127,owned by
http://www.wikidata.org/prop/direct/P1056,product or material produced
http://www.wikidata.org/prop/direct/P195,collection
http://www.wikidata.org/prop/direct/P91,sexual orientation
http://www.wikidata.org/prop/direct/P941,inspired by
http://www.wikidata.org/prop/direct/P2438,narrator
http://www.wikidata.org/prop/direct/P6166,quotes work
http://www.wikidata.org/prop/direct/P945,allegiance
http://www.wikidata.org/prop/direct/P3803,original film format
http://www.wikidata.org/prop/direct/P2283,uses
http://www.wikidata.org/prop/direct/P35,head of state
http://www.wikidata.org/prop/direct/P1196,manner of death
http://www.wikidata.org/prop/direct/P706,located on terrain feature
http://www.wikidata.org/prop/direct/P793,significant event
http://www.wikidata.org/prop/direct/P6275,copyright representative
http://www.wikidata.org/prop/direct/P8670,character designer
http://www.wikidata.org/prop/direct/P3300,musical conductor
http://www.wikidata.org/prop/direct/P3342,significant person
http://www.wikidata.org/prop/direct/P206,located in or next to body of water
http://www.wikidata.org/prop/direct/P291,place of publication
http://www.wikidata.org/prop/direct/P3931,copyright holder
http://www.wikidata.org/prop/direct/P1365,replaces
http://www.wikidata.org/prop/direct/P802,student
http://www.wikidata.org/prop/direct/P5150,IGAC rating
http://www.wikidata.org/prop/direct/P241,military branch
http://www.wikidata.org/prop/direct/P461,opposite of
http://www.wikidata.org/prop/direct/P452,industry
http://www.wikidata.org/prop/direct/P205,basin country
http://www.wikidata.org/prop/direct/P6962,narrative motif
http://www.wikidata.org/prop/direct/P2546,sidekick of
http://www.wikidata.org/prop/direct/P101,field of work
http://www.wikidata.org/prop/direct/P2563,superhuman feature or ability
http://www.wikidata.org/prop/direct/P8371,"references work, tradition or theory"
http://www.wikidata.org/prop/direct/P749,parent organization
http://www.wikidata.org/prop/direct/P371,presenter
http://www.wikidata.org/prop/direct/P8889,MTRCB rating
http://www.wikidata.org/prop/direct/P425,field of this occupation
http://www.wikidata.org/prop/direct/P1416,affiliation
http://www.wikidata.org/prop/direct/P5389,permanent resident of
http://www.wikidata.org/prop/direct/P5152,KAVI rating
http://www.wikidata.org/prop/direct/P66,ancestral home
http://www.wikidata.org/prop/direct/P135,movement
http://www.wikidata.org/prop/direct/P1027,conferred by
http://www.wikidata.org/prop/direct/P36,capital
http://www.wikidata.org/prop/direct/P366,use
http://www.wikidata.org/prop/direct/P8411,set in environment
http://www.wikidata.org/prop/direct/P6,head of government
http://www.wikidata.org/prop/direct/P479,input method
http://www.wikidata.org/prop/direct/P1429,has pet
http://www.wikidata.org/prop/direct/P1433,published in
http://www.wikidata.org/prop/direct/P157,killed by
http://www.wikidata.org/prop/direct/P5096,member of the crew of
http://www.wikidata.org/prop/direct/P3448,stepparent
http://www.wikidata.org/prop/direct/P6216,copyright status
http://www.wikidata.org/prop/direct/P1029,crew member(s)
http://www.wikidata.org/prop/direct/P2541,operating area
http://www.wikidata.org/prop/direct/P2650,interested in
http://www.wikidata.org/prop/direct/P1455,list of works
http://www.wikidata.org/prop/direct/P5201,IMDA rating
http://www.wikidata.org/prop/direct/P828,has cause
http://www.wikidata.org/prop/direct/P3174,art director
http://www.wikidata.org/prop/direct/P1165,home world
http://www.wikidata.org/prop/direct/P1542,has effect
http://www.wikidata.org/prop/direct/P5028,sound designer
http://www.wikidata.org/prop/direct/P1366,replaced by
http://www.wikidata.org/prop/direct/P1576,lifestyle
http://www.wikidata.org/prop/direct/P1399,convicted of
http://www.wikidata.org/prop/direct/P1001,applies to jurisdiction
http://www.wikidata.org/prop/direct/P629,edition or translation of
http://www.wikidata.org/prop/direct/P747,has edition or translation
http://www.wikidata.org/prop/direct/P1995,health specialty
http://www.wikidata.org/prop/direct/P1382,partially coincident with
http://www.wikidata.org/prop/direct/P287,designed by
http://www.wikidata.org/prop/direct/P3275,storyboard artist
http://www.wikidata.org/prop/direct/P3842,located in present-day administrative territorial entity
http://www.wikidata.org/prop/direct/P137,operator
http://www.wikidata.org/prop/direct/P5940,plot expanded in
http://www.wikidata.org/prop/direct/P3095,practiced by
http://www.wikidata.org/prop/direct/P5072,presented in
http://www.wikidata.org/prop/direct/P306,operating system
http://www.wikidata.org/prop/direct/P2860,cites work
http://www.wikidata.org/prop/direct/P2632,place of detention
http://www.wikidata.org/prop/direct/P263,official residence
http://www.wikidata.org/prop/direct/P3301,broadcast by
http://www.wikidata.org/prop/direct/P4908,season
http://www.wikidata.org/prop/direct/P832,public holiday
http://www.wikidata.org/prop/direct/P1142,political ideology
http://www.wikidata.org/prop/direct/P669,located on street
http://www.wikidata.org/prop/direct/P7936,business model
http://www.wikidata.org/prop/direct/P178,developer
http://www.wikidata.org/prop/direct/P7327,OFLC classification
http://www.wikidata.org/prop/direct/P4608,scenographer
http://www.wikidata.org/prop/direct/P97,noble title
http://www.wikidata.org/prop/direct/P466,occupant
http://www.wikidata.org/prop/direct/P1875,represented by
